,Species,Distance.m,Angle.degrees,Tree.Height.m
1,Populus tremula,31.6658337740228,41.2826361937914,27.80211614385359
2,Quercus robur,45.984992608428,44.5359166583512,45.24602506444045
3,Ginkgo biloba,31.2417666241527,25.1462585572153,14.665482810949326
4,Fraxinus excelsior,34.6166691975668,23.336126555223,14.934175166630416
5,Betula pendula,45.4661654261872,38.3491299510933,35.97035914125991
6,Betula pendula,48.7955017434433,33.5923089866992,32.410213366487454
7,Populus tremula,30.6472346419469,29.6680675458629,17.458243634414387
8,Fagus sylvatica,35.0619523832574,40.6805929599795,30.137380398709727
9,Quercus robur,39.9362466670573,26.9589176739100,20.312477887717684
10,Quercus robur,48.5709257051349,26.7028551246040,24.43166334669332
11,Carpinus betulus,41.3144933478907,33.6508165684063,27.502132337670187
12,Populus tremula,47.1975362300873,28.0572507053148,25.15590069826276
13,Populus tremula,35.4810611810535,39.6383204893209,29.39247964265044
14,Ginkgo biloba,34.8862405261025,38.9365267753601,28.18638717674296
15,Betula pendula,34.1105821775272,42.0246486656833,30.739887756046198
16,Alnus glutinosa,49.654958024621,38.6693715688307,39.737560514138835
17,Ginkgo biloba,40.5030490783975,31.3665648386814,24.690736135823936
18,Carpinus betulus,35.9443165874109,26.293636362534,17.759820660091798
19,Metasequoia glyptostroboides,41.7043626774102,26.5267517697066,20.817346335090157
20,Ginkgo biloba,37.3554195649922,43.1725008168723,35.04535002977613
21,Betula pendula,43.4749639127403,36.2327829515561,31.857079317849106
22,Fagus sylvatica,39.8774524684995,38.6918964318465,31.93860474887132
23,Populus tremula,31.2450212799013,23.340078931069,13.482149833013567
24,Quercus robur,35.9201506245881,42.8551055188291,33.32665231945985
25,Ginkgo biloba,49.6307160519063,31.3478059414774,30.232696012341368
26,Carpinus betulus,38.2067809579894,43.2579337025527,35.95132408576586
27,Pinus sylvestris,30.462764617987,35.7672338711563,21.943967004757198
28,Pinus sylvestris,44.3437174567953,42.6901407469995,40.905079021860864
29,Carpinus betulus,42.391633852385,26.0786303947680,20.747845362702364
30,Pinus sylvestris,49.7625944949687,35.1144014263991,34.992426651640635
